Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,38972230
"Population, total",SP.POP.TOTL,Albania,ALB,2837849
"Population, total",SP.POP.TOTL,Algeria,DZA,43451666
"Population, total",SP.POP.TOTL,American Samoa,ASM,46189
"Population, total",SP.POP.TOTL,Andorra,AND,77700
"Population, total",SP.POP.TOTL,Angola,AGO,33428486
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,92664
"Population, total",SP.POP.TOTL,Argentina,ARG,45376763
"Population, total",SP.POP.TOTL,Armenia,ARM,2805608
"Population, total",SP.POP.TOTL,Aruba,ABW,106585
"Population, total",SP.POP.TOTL,Australia,AUS,25649248
"Population, total",SP.POP.TOTL,Austria,AUT,8916864
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,10093121
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,406471
"Population, total",SP.POP.TOTL,Bahrain,BHR,1477469
"Population, total",SP.POP.TOTL,Bangladesh,BGD,167420951
"Population, total",SP.POP.TOTL,Barbados,BRB,280693
"Population, total",SP.POP.TOTL,Belarus,BLR,9379952
"Population, total",SP.POP.TOTL,Belgium,BEL,11538604
"Population, total",SP.POP.TOTL,Belize,BLZ,394921
"Population, total",SP.POP.TOTL,Benin,BEN,12643123
"Population, total",SP.POP.TOTL,Bermuda,BMU,63893
"Population, total",SP.POP.TOTL,Bhutan,BTN,772506
"Population, total",SP.POP.TOTL,Bolivia,BOL,11936162
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3318407
"Population, total",SP.POP.TOTL,Botswana,BWA,2546402
"Population, total",SP.POP.TOTL,Brazil,BRA,213196304
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,30910
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,441725
"Population, total",SP.POP.TOTL,Bulgaria,BGR,6934015
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,21522626
"Population, total",SP.POP.TOTL,Burundi,BDI,12220227
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,582640
"Population, total",SP.POP.TOTL,Cambodia,KHM,16396860
"Population, total",SP.POP.TOTL,Cameroon,CMR,26491087
"Population, total",SP.POP.TOTL,Canada,CAN,38028638
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,67311
"Population, total",SP.POP.TOTL,Central African Republic,CAF,5343020
"Population, total",SP.POP.TOTL,Chad,TCD,16644701
"Population, total",SP.POP.TOTL,Channel Islands,CHI,171113
"Population, total",SP.POP.TOTL,Chile,CHL,19300315
"Population, total",SP.POP.TOTL,China,CHN,1411100000
"Population, total",SP.POP.TOTL,Colombia,COL,50930662
"Population, total",SP.POP.TOTL,Comoros,COM,806166
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,92853164
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5702174
"Population, total",SP.POP.TOTL,Costa Rica,CRI,5123105
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,26811790
